OWNER,CONSTRAINT_NAME,TABLE_NAME,COLUMN_NAME,POSITION
SYSTEM,SYS_C008795,ALM_DETATOFI,SECC_CODIBODE,
SYSTEM,SYS_C008796,ALM_DETATOFI,SECC_OFICINA,
SYSTEM,SYS_C008797,ALM_DETATOFI,USUACREA,
SYSTEM,SYS_C008798,ALM_DETATOFI,FECHCREA,
SYSTEM,AVCON_1640621493_VIGEN_001,ALM_PROYPROD,VIGENTE,
SYSTEM,PRPD_BDGA_FK,ALM_PROYPROD,BDGA_CODIBODE,1
SYSTEM,PRPD_BDGA_FK,ALM_PROYPROD,BDGA_OFCN_COMPANIA,2
SYSTEM,PRPD_BDGA_FK,ALM_PROYPROD,BDGA_OFCN_OFICINA,3
SYSTEM,PRPD_PK,ALM_PROYPROD,PRPD_ID,1
SYSTEM,SYS_C008985,ALM_PROYPROD,PRPD_ID,
SYSTEM,SYS_C008986,ALM_PROYPROD,VIGENTE,
SYSTEM,SYS_C008987,ALM_PROYPROD,FECHA,
SYSTEM,SYS_C008988,ALM_PROYPROD,FECHCREA,
SYSTEM,SYS_C008989,ALM_PROYPROD,USUACREA,
SYSTEM,SYS_C008990,ALM_PROYPROD,BDGA_CODIBODE,
SYSTEM,SYS_C008991,ALM_PROYPROD,BDGA_OFCN_OFICINA,
SYSTEM,SYS_C008992,ALM_PROYPROD,BDGA_OFCN_COMPANIA,
SYSTEM,SYS_C008993,ALM_PROYPROD,OFCN_OFICINA,
SYSTEM,SYS_C008994,ALM_PROYPROD,OFCN_CMPN_COMPANIA,
SYSTEM,SYS_C009049,ALM_TMPDETALOTE,TDLT_ID,
SYSTEM,SYS_C009050,ALM_TMPDETALOTE,CANTPARC,
SYSTEM,SYS_C009051,ALM_TMPDETALOTE,FECHCREA,
SYSTEM,SYS_C009052,ALM_TMPDETALOTE,USUACREA,
SYSTEM,SYS_C009053,ALM_TMPDETALOTE,LOTE_NUMELOTE,
SYSTEM,SYS_C009054,ALM_TMPDETALOTE,LOTE_COMPANIA,
SYSTEM,SYS_C009055,ALM_TMPDETALOTE,LOTE_ALCANCE,
SYSTEM,TDLT_DPR_FK,ALM_TMPDETALOTE,DPR_DPR_ID,1
SYSTEM,TDLT_DXML_FK,ALM_TMPDETALOTE,DXML_DXML_ID,1
SYSTEM,TDLT_LOTE_FK,ALM_TMPDETALOTE,LOTE_COMPANIA,1
