OWNER,TABLE_NAME,COLUMN_NAME,COMMENTS
SYSTEM,ALM_DETAREQU,NUMBER1,
SYSTEM,ALM_DETAREQU,NUMBER2,
SYSTEM,ALM_DETAREQU,NUMBER3,
SYSTEM,ALM_DETAREQU,NUMBER4,
SYSTEM,ALM_DETAREQU,NUMBER5,
SYSTEM,ALM_DETAREQU,OBSERVAC,
SYSTEM,ALM_DETAREQU,PRECVENT,
SYSTEM,ALM_DETAREQU,REQU_COMPANIA,
SYSTEM,ALM_DETAREQU,REQU_NUMERO,
SYSTEM,ALM_DETAREQU,REQU_OFICINA,
SYSTEM,ALM_DETAREQU,REQU_TIPODOCU,
SYSTEM,ALM_DETAREQU,SECC_CODIBODE,
SYSTEM,ALM_DETAREQU,SECC_CODISECC,
SYSTEM,ALM_DETAREQU,SECC_COMPANIA,
SYSTEM,ALM_DETAREQU,SECC_OFICINA,
SYSTEM,ALM_DETAREQU,ULTMCOST,
SYSTEM,ALM_DETAREQU,USUACREA,
SYSTEM,ALM_DETAREQU,USUACTUA,
SYSTEM,ALM_DETAREQU,VALCIF,
SYSTEM,ALM_DETAREQU,VALFOB,
SYSTEM,ALM_DETAREQU,VCHAR1,
SYSTEM,ALM_DETAREQU,VCHAR2,
SYSTEM,ALM_DETAREQU,VCHAR3,
SYSTEM,ALM_DETAREQU,VCHAR4,
SYSTEM,ALM_DETAREQU,VCHAR5,
SYSTEM,ALM_DETARTLL,ARTL_ARTICULO,
SYSTEM,ALM_DETARTLL,ARTL_CLASE,
SYSTEM,ALM_DETARTLL,ARTL_CODIGRUP,
SYSTEM,ALM_DETARTLL,ARTL_COMPANIA,
SYSTEM,ALM_DETARTLL,DATLL_ID,
SYSTEM,ALM_DETARTLL,DESCRIPCION,
SYSTEM,ALM_DETARTLL,EXISTENCIA,
SYSTEM,ALM_DETARTLL,FECHACTU,
SYSTEM,ALM_DETARTLL,FECHCREA,
SYSTEM,ALM_DETARTLL,TLLA_ID_TLLA,
SYSTEM,ALM_DETARTLL,USUACREA,
SYSTEM,ALM_DETARTLL,USUACTUA,
SYSTEM,ALM_DETARTLL,VIGENTE,
SYSTEM,ALM_DETATOFI,ADTF_ID,
SYSTEM,ALM_DETATOFI,AJUSTE,
SYSTEM,ALM_DETATOFI,ARTL_ARTICULO,
SYSTEM,ALM_DETATOFI,ARTL_CLASE,
SYSTEM,ALM_DETATOFI,ARTL_CODIGRUP,
SYSTEM,ALM_DETATOFI,ARTL_COMPANIA,
SYSTEM,ALM_DETATOFI,ATFS_COMPANIA,
SYSTEM,ALM_DETATOFI,ATFS_NUMERO,
SYSTEM,ALM_DETATOFI,ATFS_OFICINA,
SYSTEM,ALM_DETATOFI,ATFS_TIPODOCU,
SYSTEM,ALM_DETATOFI,CANTIDAD,
SYSTEM,ALM_DETATOFI,COLOR,
SYSTEM,ALM_DETATOFI,COSTUNIT,
SYSTEM,ALM_DETATOFI,ENSA_COMPANIA,
SYSTEM,ALM_DETATOFI,ENSA_NUMERO,
SYSTEM,ALM_DETATOFI,ENSA_OFICINA,
SYSTEM,ALM_DETATOFI,ENSA_TIPODOCU,
SYSTEM,ALM_DETATOFI,EXISFISI,
SYSTEM,ALM_DETATOFI,EXISISTE,
SYSTEM,ALM_DETATOFI,FECHACTU,
SYSTEM,ALM_DETATOFI,FECHCREA,
SYSTEM,ALM_DETATOFI,OBS,
SYSTEM,ALM_DETATOFI,PESO,
SYSTEM,ALM_DETATOFI,SECC_CODIBODE,
SYSTEM,ALM_DETATOFI,SECC_CODISECC,
SYSTEM,ALM_DETATOFI,SECC_COMPANIA,
SYSTEM,ALM_DETATOFI,SECC_OFICINA,
SYSTEM,ALM_DETATOFI,TALLA,
SYSTEM,ALM_DETATOFI,UMED_UNIDMEDI,
SYSTEM,ALM_DETATOFI,USUACREA,
SYSTEM,ALM_DETATOFI,USUACTUA,
SYSTEM,ALM_DETATOFI,VALOR,
SYSTEM,ALM_PROYPROD,BDGA_CODIBODE,
SYSTEM,ALM_PROYPROD,BDGA_OFCN_COMPANIA,
SYSTEM,ALM_PROYPROD,BDGA_OFCN_OFICINA,
SYSTEM,ALM_PROYPROD,DESCRIPC,
SYSTEM,ALM_PROYPROD,FECHA,
