CHILD_OWNER,CHILD_TABLE,FK_NAME,POSITION,CHILD_COLUMN,PARENT_OWNER,PARENT_TABLE,PARENT_COLUMN,DELETE_RULE,STATUS
SYSTEM,COM_TMPCOMPRAS,CXML_INCN_FK,3,INCN_TIPODOCU,SYSTEM,CNT_INTECONT,TPDC_TIPODOCU,NO ACTION,ENABLED
SYSTEM,COM_TMPCOMPRAS,CXML_INCN_FK,4,INCN_CODITRAN,SYSTEM,CNT_INTECONT,CODITRAN,NO ACTION,ENABLED
SYSTEM,COM_TMPCOMPRAS,CXML_MONE_FK,1,MONE_MONEDA,SYSTEM,GEN_MONEDA,MONEDA,NO ACTION,ENABLED
SYSTEM,COM_TMPCOMPRAS,CXML_PAIS_FK,1,PAIS_CODIPAIS,SYSTEM,GEN_PAIS,CODIPAIS,NO ACTION,ENABLED
SYSTEM,COM_TMPCOMPRAS,CXML_PRPG_DEFINIENDO_FK,1,PRPG_CODIPERI,SYSTEM,GEN_PERIPAGO,CODIPERI,NO ACTION,ENABLED
SYSTEM,COM_TMPCOMPRAS,CXML_SCTR_FK,1,SCTR_SECUTRAN,SYSTEM,CNT_SECUTRAN,SECUTRAN,NO ACTION,ENABLED
SYSTEM,COM_TMPCOMPRAS,CXML_STCM_FK,1,STCM_SUSTENTO,SYSTEM,CNT_SUSTCOMP,SUSTENTO,NO ACTION,ENABLED
SYSTEM,COM_TMPCOMPRAS,CXML_TPPG_FK,1,TPPG_CODIGO,SYSTEM,GEN_TIPOPAGO,CODIGO,NO ACTION,ENABLED
SYSTEM,CST_DETARECT,DTRC_RCTA_FK,1,RCTA_ID,SYSTEM,CST_RECETA,RCTA_ID,NO ACTION,ENABLED
SYSTEM,CST_DETCENCS,DTCC_LTPR_FK,1,LTPR_CODIGO,SYSTEM,CST_LOTEPRO,CODIGO,NO ACTION,ENABLED
SYSTEM,CST_ORDEPROD,OPRD_ASTO_FK,1,ASTO_COMPANIA,SYSTEM,CNT_ASIENTO,CMPN_COMPANIA,NO ACTION,ENABLED
SYSTEM,CST_ORDEPROD,OPRD_ASTO_FK,2,ASTO_NUMEDIAR,SYSTEM,CNT_ASIENTO,NUMEDIAR,NO ACTION,ENABLED
SYSTEM,CST_ORDEPROD,OPRD_EGEN_FK,1,EGEN_ESTADO,SYSTEM,GEN_ESTADOS,ESTADO,NO ACTION,ENABLED
SYSTEM,CST_ORDEPROD,OPRD_LTPR_FK,1,LTPR_CODIGO,SYSTEM,CST_LOTEPRO,CODIGO,NO ACTION,ENABLED
