CHILD_OWNER,CHILD_TABLE,FK_NAME,POSITION,CHILD_COLUMN,PARENT_OWNER,PARENT_TABLE,PARENT_COLUMN
SYSTEM,SRV_SEAUFPCO,SAPC_FRPG_FK,1,FRPG_FORMPAGO,SYSTEM,GEN_FORMPAGO,FORMPAGO
SYSTEM,SRV_SECOFAEC,SCFE_VNTA_FK,1,VNTA_COMPANIA,SYSTEM,VEN_VENTAS,OFCN_COMPANIA
SYSTEM,SRV_SECOFAEC,SCFE_VNTA_FK,2,VNTA_OFICINA,SYSTEM,VEN_VENTAS,OFCN_OFICINA
SYSTEM,SRV_SECOFAEC,SCFE_VNTA_FK,3,VNTA_SERIE,SYSTEM,VEN_VENTAS,SERIE
SYSTEM,SRV_SECOFAEC,SCFE_VNTA_FK,4,VNTA_NUMERO,SYSTEM,VEN_VENTAS,NUMERO
SYSTEM,SRV_SECOFAEC,SCFE_VNTA_FK,5,VNTA_TIPOCOMP,SYSTEM,VEN_VENTAS,TPCM_TIPOCOMP
SYSTEM,SRV_SEPRVDET,SPVD_EGEN_FK,1,EGEN_ESTADO,SYSTEM,GEN_ESTADOS,ESTADO
SYSTEM,SRV_SEPRVDET,SPVD_RCDP_FK,1,CLTE_COMPANIA,SYSTEM,CLI_RCCLDAPE,CLTE_COMPANIA
SYSTEM,SRV_SEPRVDET,SPVD_RCDP_FK,2,CLTE_IDCLIENTE,SYSTEM,CLI_RCCLDAPE,CLTE_IDCLIENTE
SYSTEM,SRV_SEPRVDET,SPVD_RCDP_FK,3,RCDP_IDRESCLI,SYSTEM,CLI_RCCLDAPE,IDRESCLI
SYSTEM,SRV_SEPRVDET,SPVD_SPVC_FK,1,SPVC_SPVC_ID,SYSTEM,SRV_SEPRVCAB,SPVC_ID
SYSTEM,SRV_SEPRVDET,SPVD_SPVD_FK,1,SPVD_SPVD_ID,SYSTEM,SRV_SEPRVDET,SPVD_ID
SYSTEM,SRV_SEPRVDET,SPVD_STCR_FK,1,STCR_STCR_ID,SYSTEM,SRV_STCONREC,ID
SYSTEM,SRV_SEPRVDET,SPVD_UMED_FK,1,UMED_UNIDMEDI,SYSTEM,ALM_UNIDMEDI,UNIDMEDI
SYSTEM,SRV_STCONREC,STCR_INDE_FK,1,INDE_INDE_ID,SYSTEM,INF_DETAEQUI,INDE_ID
SYSTEM,SRV_STCOTRRE,STCT_SPVD_FK,1,SPVD_ID,SYSTEM,SRV_SEPRVDET,SPVD_ID
SYSTEM,TLL_DETAORDEN,DTOR_ORTB_FK,1,ORTB_ORDEN,SYSTEM,TLL_ORDETRAB,ORDEN
SYSTEM,TLL_DETAORDEN,DTOR_ORTB_FK,2,ORTB_COMPANIA,SYSTEM,TLL_ORDETRAB,OFCN_COMPANIA
SYSTEM,TLL_DETAORDEN,DTOR_ORTB_FK,3,ORTB_OFICINA,SYSTEM,TLL_ORDETRAB,OFCN_OFICINA
