OWNER,CONSTRAINT_NAME,CONSTRAINT_TYPE,TABLE_NAME,STATUS,VALIDATED,DEFERRABLE,DEFERRED,R_OWNER,R_CONSTRAINT_NAME,DELETE_RULE,BAD,INVALID,GENERATED,SEARCH_CONDITION_VC
SYSTEM,SYS_C002409,C,AQ$_QUEUE_TABLES,ENABLED,VALIDATED,NOT DEFERRABLE,IMMEDIATE,,,,,,GENERATED NAME,"""UDATA_TYPE"" IS NOT NULL"
SYSTEM,SYS_C002410,C,AQ$_QUEUE_TABLES,ENABLED,VALIDATED,NOT DEFERRABLE,IMMEDIATE,,,,,,GENERATED NAME,"""OBJNO"" IS NOT NULL"
SYSTEM,SYS_C002411,C,AQ$_QUEUE_TABLES,ENABLED,VALIDATED,NOT DEFERRABLE,IMMEDIATE,,,,,,GENERATED NAME,"""FLAGS"" IS NOT NULL"
SYSTEM,SYS_C002412,C,AQ$_QUEUE_TABLES,ENABLED,VALIDATED,NOT DEFERRABLE,IMMEDIATE,,,,,,GENERATED NAME,"""SORT_COLS"" IS NOT NULL"
SYSTEM,AQ$_SCHEDULES_CHECK,U,AQ$_SCHEDULES,ENABLED,VALIDATED,NOT DEFERRABLE,IMMEDIATE,,,,,,USER NAME,
SYSTEM,AQ$_SCHEDULES_PRIMARY,P,AQ$_SCHEDULES,ENABLED,VALIDATED,NOT DEFERRABLE,IMMEDIATE,,,,,,USER NAME,
SYSTEM,SYS_C002467,C,AQ$_SCHEDULES,ENABLED,VALIDATED,NOT DEFERRABLE,IMMEDIATE,,,,,,GENERATED NAME,"""DESTINATION"" IS NOT NULL"
SYSTEM,HELP_TOPIC_SEQ,P,HELP,ENABLED,VALIDATED,NOT DEFERRABLE,IMMEDIATE,,,,,,USER NAME,
SYSTEM,SYS_C006855,C,HELP,ENABLED,VALIDATED,NOT DEFERRABLE,IMMEDIATE,,,,,,GENERATED NAME,"""TOPIC"" IS NOT NULL"
SYSTEM,SYS_C006856,C,HELP,ENABLED,VALIDATED,NOT DEFERRABLE,IMMEDIATE,,,,,,GENERATED NAME,"""SEQ"" IS NOT NULL"
SYSTEM,LOGMNR_AGE_SPILL$_PK,P,LOGMNR_AGE_SPILL$,ENABLED,VALIDATED,NOT DEFERRABLE,IMMEDIATE,,,,,,USER NAME,
SYSTEM,LOGMNR_ATTRCOL$_PK,P,LOGMNR_ATTRCOL$,DISABLED,NOT VALIDATED,NOT DEFERRABLE,IMMEDIATE,,,,,,USER NAME,
SYSTEM,SYS_C003251,C,LOGMNR_ATTRCOL$,ENABLED,VALIDATED,NOT DEFERRABLE,IMMEDIATE,,,,,,GENERATED NAME,"""OBJ#"" IS NOT NULL"
SYSTEM,LOGMNR_ATTRIBUTE$_PK,P,LOGMNR_ATTRIBUTE$,DISABLED,NOT VALIDATED,NOT DEFERRABLE,IMMEDIATE,,,,,,USER NAME,
SYSTEM,SYS_C003269,C,LOGMNR_ATTRIBUTE$,ENABLED,VALIDATED,NOT DEFERRABLE,IMMEDIATE,,,,,,GENERATED NAME,"""TOID"" IS NOT NULL"
SYSTEM,LOGMNR_CCOL$_PK,P,LOGMNR_CCOL$,DISABLED,NOT VALIDATED,NOT DEFERRABLE,IMMEDIATE,,,,,,USER NAME,
