CHILD_OWNER,CHILD_TABLE,FK_NAME,POSITION,CHILD_COLUMN,PARENT_OWNER,PARENT_TABLE,PARENT_COLUMN,DELETE_RULE,STATUS
SYSTEM,CNT_INTPROCESO,IPRO_INCN_FK,1,INCN_COMPANIA,SYSTEM,CNT_INTECONT,CMPN_COMPANIA,NO ACTION,ENABLED
SYSTEM,CNT_INTPROCESO,IPRO_INCN_FK,2,INCN_PRODUCTO,SYSTEM,CNT_INTECONT,PRDT_PRODUCTO,NO ACTION,ENABLED
SYSTEM,CNT_INTPROCESO,IPRO_INCN_FK,3,INCN_TIPODOCU,SYSTEM,CNT_INTECONT,TPDC_TIPODOCU,NO ACTION,ENABLED
SYSTEM,CNT_INTPROCESO,IPRO_INCN_FK,4,INCN_CODITRAN,SYSTEM,CNT_INTECONT,CODITRAN,NO ACTION,ENABLED
SYSTEM,CNT_RETENCION,RETE_ASTO_FK,1,ASTO_COMPANIA,SYSTEM,CNT_ASIENTO,CMPN_COMPANIA,NO ACTION,ENABLED
SYSTEM,CNT_RETENCION,RETE_ASTO_FK,2,ASTO_NUMEDIAR,SYSTEM,CNT_ASIENTO,NUMEDIAR,NO ACTION,ENABLED
SYSTEM,CNT_RETENCION,RETE_EGEN_FK,1,EGEN_ESTADO,SYSTEM,GEN_ESTADOS,ESTADO,NO ACTION,ENABLED
SYSTEM,CNT_RETENCION,RETE_OTRC_FK,1,OTRC_OTRC_ID,SYSTEM,COB_OTRODEBI,OTRC_ID,NO ACTION,ENABLED
SYSTEM,CNT_RETENCION,RETE_OTRS_FK,1,OTRS_OTRS_ID,SYSTEM,PAG_OTRSCTAS,OTRS_ID,NO ACTION,ENABLED
SYSTEM,CNT_RETENCION,RETE_TRET_FK,1,TRET_TIPORETE,SYSTEM,CNT_TIPORETE,TIPORETE,NO ACTION,ENABLED
SYSTEM,CNT_RETENCION,RETE_VNTA_FK,1,VNTA_COMPANIA,SYSTEM,VEN_VENTAS,OFCN_COMPANIA,NO ACTION,ENABLED
SYSTEM,CNT_RETENCION,RETE_VNTA_FK,2,VNTA_OFICINA,SYSTEM,VEN_VENTAS,OFCN_OFICINA,NO ACTION,ENABLED
SYSTEM,CNT_RETENCION,RETE_VNTA_FK,3,VNTA_SERIE,SYSTEM,VEN_VENTAS,SERIE,NO ACTION,ENABLED
SYSTEM,CNT_RETENCION,RETE_VNTA_FK,4,VNTA_NUMERO,SYSTEM,VEN_VENTAS,NUMERO,NO ACTION,ENABLED
SYSTEM,CNT_RETENCION,RETE_VNTA_FK,5,VNTA_TIPOCOMP,SYSTEM,VEN_VENTAS,TPCM_TIPOCOMP,NO ACTION,ENABLED
